"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2020","5.2900","5.3205","5.3775","5.2744","104.60K","-0.59%"
"08/03/2020","5.3213","5.2223","5.3364","5.2115","90.48K","1.86%"
"07/31/2020","5.2240","5.1541","5.2298","5.1531","100.17K","1.37%"
"07/30/2020","5.1534","5.1705","5.2165","5.1435","103.91K","-0.31%"
"07/29/2020","5.1692","5.1383","5.1845","5.1145","102.56K","0.31%"
"07/28/2020","5.1533","5.1493","5.2045","5.1346","100.20K","0.17%"
"07/27/2020","5.1447","5.2332","5.2332","5.1410","93.03K","-1.69%"
"07/24/2020","5.2329","5.2127","5.2533","5.1596","131.85K","0.42%"
"07/23/2020","5.2112","5.1191","5.2262","5.1188","137.93K","1.85%"
"07/22/2020","5.1166","5.1707","5.2028","5.0827","108.58K","-1.06%"
"07/21/2020","5.1713","5.3291","5.3291","5.1647","120.19K","-2.95%"
"07/20/2020","5.3283","5.3870","5.3913","5.3269","92.53K","-1.05%"
"07/17/2020","5.3849","5.3243","5.3923","5.3155","85.14K","1.01%"
"07/16/2020","5.3311","5.3697","5.3928","5.3064","105.74K","-0.72%"
"07/15/2020","5.3698","5.3096","5.3910","5.2917","111.15K","0.04%"
"07/14/2020","5.3674","5.4032","5.4542","5.3306","147.55K","-0.68%"
"07/13/2020","5.4040","5.3130","5.4098","5.3105","105.92K","1.51%"
"07/10/2020","5.3238","5.3390","5.3946","5.3128","123.63K","-0.33%"
"07/09/2020","5.3413","5.3450","5.3788","5.2450","135.24K","-0.02%"
"07/08/2020","5.3422","5.3840","5.3941","5.3178","120.12K","-0.68%"
"07/07/2020","5.3790","5.3559","5.4017","5.2880","110.18K","0.43%"
"07/06/2020","5.3562","5.3150","5.3592","5.2609","93.06K","0.76%"
"07/03/2020","5.3158","5.3523","5.3807","5.3047","67.23K","-0.82%"
"07/02/2020","5.3596","5.3185","5.3752","5.2656","113.98K","0.79%"
"07/01/2020","5.3174","5.4660","5.4763","5.2985","101.37K","-2.72%"
"06/30/2020","5.4661","5.4005","5.5082","5.4005","106.56K","1.16%"
"06/29/2020","5.4034","5.4847","5.4847","5.3892","123.46K","-1.47%"
"06/26/2020","5.4840","5.3608","5.4931","5.3608","134.75K","2.39%"
"06/25/2020","5.3561","5.3476","5.3802","5.2663","139.70K","0.18%"
"06/24/2020","5.3467","5.1525","5.3549","5.1525","141.75K","3.73%"
"06/23/2020","5.1542","5.2524","5.2537","5.1336","103.45K","-1.87%"
"06/22/2020","5.2524","5.2904","5.2968","5.1972","110.56K","-1.09%"
"06/19/2020","5.3105","5.3780","5.3821","5.2881","139.44K","-1.25%"
"06/18/2020","5.3776","5.2291","5.3884","5.2277","136.42K","2.85%"
"06/17/2020","5.2286","5.2446","5.2716","5.1814","131.61K","-0.27%"
"06/16/2020","5.2430","5.1173","5.2549","5.0477","177.79K","1.69%"
"06/15/2020","5.1557","5.1314","5.2260","5.0786","162.46K","2.08%"
"06/12/2020","5.0505","4.9774","5.1118","4.9765","176.63K","1.50%"
"06/11/2020","4.9760","4.9740","4.9765","4.9740","0.00K","0.06%"
"06/10/2020","4.9732","4.9000","4.9789","4.8380","135.72K","1.51%"
"06/09/2020","4.8992","4.8229","4.9359","4.8229","112.82K","1.58%"
"06/08/2020","4.8230","4.9619","4.9774","4.8175","102.97K","-2.73%"
"06/05/2020","4.9585","5.1186","5.1196","4.9328","119.45K","-3.14%"
"06/04/2020","5.1190","5.0624","5.1418","5.0244","130.19K","1.12%"
"06/03/2020","5.0622","5.2007","5.2109","5.0159","115.09K","-2.68%"
"06/02/2020","5.2014","5.3672","5.3700","5.1989","89.48K","-3.02%"
"06/01/2020","5.3633","5.3340","5.4196","5.3100","99.54K","0.51%"
"05/29/2020","5.3361","5.4049","5.4630","5.3190","119.11K","-1.27%"
"05/28/2020","5.4045","5.2743","5.4113","5.2743","105.35K","2.49%"
"05/27/2020","5.2733","5.3418","5.3610","5.2691","102.88K","-1.34%"
"05/26/2020","5.3450","5.4432","5.4432","5.3340","104.03K","-1.86%"
"05/25/2020","5.4461","5.4942","5.5301","5.4321","60.09K","-1.58%"
"05/22/2020","5.5338","5.5536","5.6256","5.5229","105.55K","-0.30%"
"05/21/2020","5.5507","5.6925","5.7062","5.5473","90.88K","-2.49%"
"05/20/2020","5.6925","5.7559","5.7572","5.6694","85.84K","-1.07%"
"05/19/2020","5.7540","5.7192","5.7687","5.6820","99.88K","0.61%"
"05/18/2020","5.7190","5.8565","5.8565","5.6942","82.46K","-2.33%"
"05/15/2020","5.8554","5.8110","5.8734","5.7590","118.18K","0.76%"
"05/14/2020","5.8115","5.9248","5.9718","5.8022","118.51K","-1.25%"
"05/13/2020","5.8852","5.8863","5.9440","5.8176","95.62K","-0.01%"
"05/12/2020","5.8856","5.8190","5.8949","5.7420","82.42K","1.16%"
"05/11/2020","5.8180","5.7825","5.8404","5.7651","77.67K","1.50%"
"05/08/2020","5.7319","5.8123","5.8285","5.7178","86.98K","-1.69%"
"05/07/2020","5.8307","5.7158","5.8770","5.7158","103.44K","2.04%"
"05/06/2020","5.7140","5.5750","5.7235","5.5750","71.70K","2.43%"
"05/05/2020","5.5783","5.5424","5.6044","5.4818","82.01K","0.60%"
"05/04/2020","5.5450","5.6141","5.6143","5.5187","88.46K","1.08%"
"05/01/2020","5.4856","5.4861","5.4861","5.4861","","0.00%"
"04/30/2020","5.4858","5.3346","5.4875","5.3306","86.78K","2.83%"
"04/29/2020","5.3348","5.5019","5.5280","5.3340","97.77K","-3.00%"
"04/28/2020","5.4999","5.6085","5.6221","5.4710","105.68K","-2.70%"
"04/27/2020","5.6526","5.5427","5.7260","5.5345","105.40K","1.11%"
"04/24/2020","5.5907","5.5339","5.7484","5.5339","121.53K","1.03%"
"04/23/2020","5.5335","5.4557","5.5567","5.4008","120.50K","1.38%"
"04/22/2020","5.4580","5.3184","5.4644","5.3028","86.28K","2.67%"
"04/21/2020","5.3163","5.3172","5.3176","5.3166","0.01K","-0.01%"
"04/20/2020","5.3168","5.2864","5.3201","5.2642","80.53K","1.54%"
"04/17/2020","5.2363","5.2341","5.2761","5.2066","84.20K","0.06%"
"04/16/2020","5.2333","5.2336","5.2683","5.2007","85.45K","-0.06%"
"04/15/2020","5.2367","5.2228","5.2684","5.2157","77.63K","1.45%"
"04/14/2020","5.1621","5.1811","5.2123","5.1484","77.50K","-0.72%"
"04/13/2020","5.1994","5.1219","5.2088","5.1038","72.28K","1.82%"
"04/10/2020","5.1063","5.1068","5.1068","5.1068","","-0.01%"
"04/09/2020","5.1070","5.1260","5.1533","5.0487","85.73K","-0.32%"
"04/08/2020","5.1233","5.2237","5.2489","5.1112","74.27K","-1.88%"
"04/07/2020","5.2214","5.2817","5.2868","5.1819","82.69K","-1.23%"
"04/06/2020","5.2863","5.2998","5.3114","5.2235","76.79K","-1.20%"
"04/03/2020","5.3506","5.2566","5.3541","5.2557","62.52K","1.85%"
"04/02/2020","5.2533","5.2485","5.2850","5.2221","66.62K","0.08%"
"04/01/2020","5.2493","5.2252","5.2747","5.2210","61.41K","0.86%"
"03/31/2020","5.2046","5.1881","5.2150","5.1680","74.43K","0.21%"
"03/30/2020","5.1936","5.1180","5.1961","5.1128","63.78K","1.84%"
"03/27/2020","5.0997","5.0235","5.1283","5.0235","94.83K","1.55%"
"03/26/2020","5.0219","5.0353","5.0657","4.9733","96.88K","-0.29%"
"03/25/2020","5.0366","5.1004","5.1115","4.9726","95.40K","-1.23%"
"03/24/2020","5.0995","5.1441","5.1441","5.0420","71.51K","-0.88%"
"03/23/2020","5.1447","5.0616","5.1464","5.0045","84.64K","1.59%"
"03/20/2020","5.0640","5.0015","5.0659","4.9827","77.99K","-0.63%"
"03/19/2020","5.0960","5.1098","5.2133","5.0679","67.76K","-0.23%"
"03/18/2020","5.1075","5.0099","5.2550","5.0082","55.97K","1.95%"
"03/17/2020","5.0100","5.0370","5.0881","4.9607","106.49K","0.19%"
"03/16/2020","5.0005","4.8593","5.0683","4.8593","91.75K","2.90%"
"03/13/2020","4.8596","4.7100","4.8816","4.6426","98.50K","1.42%"
"03/12/2020","4.7916","4.8154","5.0284","4.7496","47.02K","-0.49%"
"03/11/2020","4.8152","4.6406","4.8289","4.6406","95.78K","3.69%"
"03/10/2020","4.6439","4.6741","4.6881","4.6352","87.43K","-1.71%"
"03/09/2020","4.7246","4.7601","4.7954","4.7064","91.76K","2.10%"
"03/06/2020","4.6272","4.6355","4.6713","4.6101","102.73K","0.43%"
"03/05/2020","4.6076","4.5988","4.6666","4.5839","80.88K","0.49%"
"03/04/2020","4.5850","4.5133","4.5880","4.5019","68.83K","1.55%"
"03/03/2020","4.5148","4.4744","4.5183","4.4517","98.73K","0.90%"
"03/02/2020","4.4744","4.4950","4.5065","4.4692","70.01K","0.02%"
"02/28/2020","4.4735","4.5067","4.5138","4.4634","114.12K","-0.29%"
